# Case: R.ST0 - All Stations Combined
#
Station,X/H,LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
9,3.0,3,0.15,-0.197,0.0,8.64,5.93,-1.95,3.14,1.61,-1.8,-2.08
9,3.0,4,0.2,-0.184,-0.001,10.2,7.16,-2.89,5.35,2.37,-2.83,-2.7
9,3.0,5,0.3,-0.143,-0.002,14.81,9.75,-4.99,10.54,3.64,-4.97,-3.73
9,3.0,6,0.4,-0.066,-0.014,24.15,13.31,-8.47,15.08,4.38,-6.34,-3.91
9,3.0,7,0.5,0.038,-0.029,28.65,15.51,-10.16,-4.8,-0.89,1.39,-1.19
9,3.0,8,0.6,0.162,-0.046,25.33,15.29,-9.43,-19.14,-5.35,7.12,1.74
9,3.0,9,0.7,0.282,-0.057,19.25,13.35,-7.97,-9.14,-4.16,4.97,2.22
9,3.0,10,0.8,0.388,-0.064,15.77,11.63,-6.37,-0.98,-2.0,1.47,1.82
9,3.0,11,0.9,0.506,-0.068,15.98,10.25,-6.01,-2.67,-2.23,2.03,2.58
9,3.0,12,1.0,0.613,-0.064,14.29,8.06,-4.81,-7.35,-3.52,3.69,3.62
9,3.0,13,1.1,0.716,-0.067,8.92,4.8,-2.4,-4.45,-1.73,1.78,1.74
9,3.0,14,1.15,0.747,-0.067,7.18,3.94,-1.88,-2.96,-1.14,1.17,1.2
9,3.0,15,1.2,0.777,-0.066,5.45,3.07,-1.36,-1.46,-0.55,0.56,0.67
9,3.0,16,1.3,0.813,-0.064,3.91,2.28,-0.98,-0.4,-0.18,0.2,0.31
9,3.0,17,1.4,0.841,-0.063,3.33,1.81,-0.73,-0.21,-0.08,0.12,0.14
9,3.0,18,1.5,0.864,-0.063,2.93,1.55,-0.67,-0.28,-0.08,0.09,0.09
9,3.0,19,1.7,0.903,-0.063,2.29,1.3,-0.52,-0.33,-0.09,0.12,0.08
9,3.0,20,2.0,0.948,-0.059,1.56,0.83,-0.3,-0.25,-0.08,0.1,0.07
9,3.0,21,2.4,0.989,-0.055,0.66,0.4,-0.04,-0.09,-0.03,0.03,0.02
9,3.0,22,2.8,0.998,-0.048,0.36,0.25,0.05,0.01,0.0,0.0,0.0
9,3.0,23,3.2,0.995,-0.044,0.35,0.23,0.05,0.01,0.0,0.0,0.0
9,3.0,24,3.6,0.994,-0.042,0.35,0.22,0.04,0.01,0.0,0.0,0.0
9,3.0,25,4.0,0.992,-0.039,0.33,0.21,0.04,0.01,0.0,0.0,0.0
9,3.0,26,5.0,0.988,-0.034,0.33,0.21,0.04,0.01,0.0,0.0,0.0
9,3.0,27,6.0,0.984,-0.03,0.33,0.22,0.05,0.01,0.0,0.0,0.0
9,3.0,28,7.5,0.983,-0.025,0.33,0.23,0.04,0.01,0.01,0.0,0.0
9,3.0,29,8.2,0.899,-0.015,2.31,1.55,0.69,-0.52,-0.23,-0.21,-0.17
10,4.0,2,0.1,-0.171,-0.014,9.71,7.67,-2.64,4.26,2.49,-2.6,-2.47
10,4.0,3,0.15,-0.154,-0.02,13.2,10.1,-4.45,10.5,4.7,-5.18,-4.94
10,4.0,4,0.2,-0.134,-0.027,16.5,12.98,-6.3,13.67,5.61,-6.52,-5.34
10,4.0,5,0.3,-0.057,-0.046,25.91,16.16,-9.94,16.29,4.72,-5.66,-4.41
10,4.0,6,0.4,0.052,-0.068,32.92,18.95,-12.02,-4.83,-2.74,3.5,2.13
10,4.0,7,0.5,0.169,-0.082,30.67,18.32,-11.11,-26.75,-8.98,11.86,6.02
10,4.0,8,0.6,0.279,-0.093,23.24,15.9,-8.99,-19.61,-9.14,9.42,6.9
10,4.0,9,0.7,0.381,-0.094,18.21,13.03,-6.93,-5.06,-4.23,3.71,4.03
10,4.0,10,0.8,0.473,-0.097,17.03,10.98,-5.98,-3.65,-3.38,3.11,3.89
10,4.0,11,0.9,0.568,-0.097,14.45,8.3,-4.52,-5.19,-2.98,2.45,3.04
10,4.0,12,1.0,0.656,-0.092,11.55,6.33,-3.48,-6.85,-2.78,2.86,2.55
10,4.0,13,1.1,0.73,-0.089,7.7,4.2,-2.1,-3.69,-1.47,1.52,1.57
10,4.0,14,1.15,0.754,-0.087,6.27,3.52,-1.65,-2.27,-0.94,1.0,1.14
10,4.0,15,1.2,0.778,-0.084,4.85,2.83,-1.19,-0.84,-0.42,0.48,0.71
10,4.0,16,1.3,0.811,-0.083,3.8,2.19,-0.87,-0.44,-0.19,0.16,0.32
10,4.0,17,1.4,0.835,-0.081,3.17,1.8,-0.67,-0.29,-0.11,0.13,0.2
10,4.0,18,1.5,0.856,-0.079,2.86,1.52,-0.56,-0.31,-0.08,0.1,0.14
10,4.0,19,1.7,0.895,-0.076,2.27,1.25,-0.45,-0.34,-0.1,0.14,0.13
10,4.0,20,2.0,0.94,-0.072,1.47,0.78,-0.23,-0.22,-0.07,0.07,0.07
10,4.0,21,2.4,0.978,-0.063,0.61,0.39,0.0,-0.06,-0.01,0.03,0.02
10,4.0,22,2.8,0.986,-0.056,0.38,0.26,0.06,0.01,0.0,-0.01,0.0
10,4.0,23,3.2,0.984,-0.05,0.36,0.23,0.05,0.01,0.0,0.0,0.0
10,4.0,24,3.6,0.985,-0.047,0.36,0.23,0.07,0.01,0.0,0.0,0.0
10,4.0,25,4.0,0.985,-0.043,0.33,0.21,0.06,0.0,0.0,0.0,0.0
10,4.0,26,5.0,0.983,-0.037,0.33,0.22,0.06,0.01,0.0,0.0,0.0
10,4.0,27,6.0,0.98,-0.031,0.34,0.23,0.06,0.01,0.0,0.0,0.0
10,4.0,28,7.5,0.98,-0.025,0.35,0.25,0.07,0.01,0.0,-0.01,0.0
10,4.0,29,8.2,0.892,-0.013,2.23,1.59,0.65,-0.4,-0.22,-0.19,-0.13
11,5.0,2,0.1,-0.032,-0.046,18.83,13.16,-6.05,12.72,5.39,-4.75,-4.24
11,5.0,3,0.15,-0.006,-0.053,23.97,15.57,-7.11,14.24,4.3,-3.75,-3.88
11,5.0,4,0.2,0.026,-0.063,26.59,18.23,-9.54,10.18,3.78,-4.01,-3.06
11,5.0,5,0.3,0.117,-0.088,30.07,20.49,-11.5,-4.63,-3.89,4.71,3.4
11,5.0,6,0.4,0.204,-0.097,27.91,19.81,-10.49,-17.17,-8.17,9.14,6.95
11,5.0,7,0.5,0.293,-0.103,25.09,17.3,-9.29,-18.92,-9.77,9.89,7.64
11,5.0,8,0.6,0.375,-0.106,21.27,15.07,-8.29,-13.35,-7.91,7.4,7.83
11,5.0,9,0.7,0.452,-0.104,19.7,13.26,-7.33,-11.5,-7.42,6.97,7.33
11,5.0,10,0.8,0.536,-0.103,16.77,10.57,-5.84,-9.62,-6.42,6.07,6.21
11,5.0,11,0.9,0.61,-0.097,14.13,8.4,-4.97,-10.74,-5.26,5.67,5.21
11,5.0,12,1.0,0.679,-0.096,10.11,6.14,-3.07,-7.53,-3.32,3.36,3.92
11,5.0,13,1.1,0.734,-0.095,6.79,4.05,-1.86,-4.53,-1.76,1.93,2.05
11,5.0,14,1.15,0.753,-0.093,5.71,3.5,-1.6,-2.92,-1.23,1.33,1.53
11,5.0,15,1.2,0.771,-0.091,4.63,2.95,-1.33,-1.32,-0.69,0.74,1.02
11,5.0,16,1.3,0.8,-0.09,3.6,2.12,-0.78,-0.44,-0.17,0.22,0.35
11,5.0,17,1.4,0.826,-0.088,3.17,1.85,-0.7,-0.38,-0.16,0.23,0.26
11,5.0,18,1.5,0.845,-0.086,2.71,1.61,-0.6,-0.28,-0.11,0.15,0.18
11,5.0,19,1.7,0.88,-0.082,2.13,1.25,-0.43,-0.26,-0.07,0.12,0.1
