"U:0","U:1","U:2","arc_length","Points:0","Points:1","Points:2"
31.852,-0.09912,-1.7984e-20,0.11136,0.0762,0.11136,0
31.773,-0.097476,-1.83e-20,0.11136,0.0762,0.11136,0
30.88,-0.08034,-1.2999e-20,0.11188,0.0762,0.11188,0
30.785,-0.078685,-1.2251e-20,0.11188,0.0762,0.11188,0
29.916,-0.064715,-3.9613e-21,0.11231,0.0762,0.11231,0
29.803,-0.063059,-2.3903e-21,0.11231,0.0762,0.11231,0
28.958,-0.051793,1.2322e-20,0.11267,0.0762,0.11267,0
28.821,-0.050147,1.2129e-20,0.11267,0.0762,0.11267,0
28,-0.041176,-1.8134e-21,0.11297,0.0762,0.11297,0
27.833,-0.039551,-2.4487e-21,0.11297,0.0762,0.11297,0
27.037,-0.03251,3.1208e-21,0.11321,0.0762,0.11321,0
26.833,-0.030916,5.2681e-21,0.11321,0.0762,0.11321,0
26.062,-0.02548,1.5686e-20,0.11342,0.0762,0.11342,0
25.811,-0.023927,1.546e-20,0.11342,0.0762,0.11342,0
25.066,-0.019811,6.1284e-21,0.11359,0.0762,0.11359,0
24.753,-0.018305,2.3962e-21,0.11359,0.0762,0.11359,0
24.036,-0.015262,-5.8136e-21,0.11373,0.0762,0.11373,0
23.639,-0.013812,-7.4367e-21,0.11373,0.0762,0.11373,0
22.956,-0.011632,-6.2941e-21,0.11384,0.0762,0.11384,0
22.442,-0.010241,-3.5427e-21,0.11384,0.0762,0.11384,0
21.802,-0.0087465,1.6905e-21,0.11394,0.0762,0.11394,0
21.12,-0.0074221,-1.1177e-21,0.11394,0.0762,0.11394,0
20.541,-0.0064666,-8.799e-21,0.11402,0.0762,0.11402,0
19.606,-0.0052143,-1.1489e-20,0.11402,0.0762,0.11402,0
19.125,-0.0046769,-9.2788e-21,0.11408,0.0762,0.11408,0
17.783,-0.0035048,-9.2468e-22,0.11408,0.0762,0.11408,0
17.471,-0.0032836,1.3686e-21,0.11414,0.0762,0.11414,0
15.437,-0.0021914,8.9801e-21,0.11414,0.0762,0.11414,0
15.459,-0.0022007,8.9493e-21,0.11418,0.0762,0.11418,0
12.247,-0.001187,1.3134e-20,0.11418,0.0762,0.11418,0
12.952,-0.0013606,1.2267e-20,0.11422,0.0762,0.11422,0
8.1373,-0.00047696,1.4691e-21,0.11422,0.0762,0.11422,0
9.9496,-0.00073051,9.9081e-21,0.11425,0.0762,0.11425,0
3.7658,-9.6764e-05,-1.4299e-21,0.11425,0.0762,0.11425,0
6.678,-0.00030266,-3.0741e-21,0.11428,0.0762,0.11428,0
nan,nan,nan,0.11428,0.0762,0.11428,0
3.5503,-8.153e-05,-1.3082e-21,0.1143,0.0762,0.1143,0
nan,nan,nan,0.1143,0.0762,0.1143,0
nan,nan,nan,0.2,0.0762,0.2,0
